Line|LOS|a|e|i|o|u|Ac|Ec|Ic|Oc|Uc
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Call me Ishmael. Some years ago—never mind how long precisely—having"|69|5|8|3|4|0|0|0|1|0|0
"little or no money in my purse, and nothing particular to interest me"|70|3|6|5|5|2|0|0|0|0|0
"on shore, I thought I would sail about a little and see the watery part"|72|6|6|2|5|3|0|0|2|0|0
"of the world. It is a way I have of driving off the spleen and"|63|4|5|3|4|0|0|0|2|0|0
"regulating the circulation. Whenever I find myself growing grim about"|70|3|6|6|3|3|0|0|1|0|0
"the mouth; whenever it is a damp, drizzly November in my soul; whenever"|72|2|9|4|3|2|0|0|0|0|0
"I find myself involuntarily pausing before coffin warehouses, and"|66|4|5|5|4|3|0|0|1|0|0
"bringing up the rear of every funeral I meet; and especially whenever"|70|4|12|3|1|2|0|0|1|0|0
"my hypos get such an upper hand of me, that it requires a strong moral"|71|5|5|2|4|3|0|0|0|0|0
"principle to prevent me from deliberately stepping into the street, and"|72|2|11|5|3|0|0|0|0|0|0
"methodically knocking people’s hats off—then, I account it high time to"|72|3|5|5|6|1|0|0|1|0|0
"get to sea as soon as I can. This is my substitute for pistol and ball."|72|6|3|4|5|2|0|0|1|0|0
"With a philosophical flourish Cato throws himself upon his sword; I"|68|3|1|6|7|2|0|0|1|0|0
"quietly take to the ship. There is nothing surprising in this. If they"|71|1|6|8|2|2|0|0|1|0|0
"but knew it, almost all men in their degree, some time or other,"|65|2|9|4|4|1|0|0|0|0|0
"cherish very nearly the same feelings towards the ocean with me."|65|4|10|3|2|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"There now is your insular city of the Manhattoes, belted round by"|66|3|6|3|5|3|0|0|0|0|0
"wharves as Indian isles by coral reefs—commerce surrounds it with her"|70|4|7|4|3|2|0|0|1|0|0
"surf. Right and left, the streets take you waterward. Its extreme"|66|4|9|1|1|2|0|0|1|0|0
"downtown is the battery, where that noble mole is washed by waves, and"|71|5|8|2|4|0|0|0|0|0|0
"cooled by breezes, which a few hours previous were out of sight of"|67|1|8|3|7|3|0|0|0|0|0
"land. Look at the crowds of water-gazers there."|48|4|5|0|4|0|0|0|0|0|0
\"\"|1|0|0|0|0|0|0|0|0|0|0
"Circumambulate the city of a dreamy Sabbath afternoon. Go from Corlears"|72|8|5|2|6|2|0|0|0|0|0
"Hook to Coenties Slip, and from thence, by Whitehall, northward. What"|70|4|5|3|6|0|0|0|0|0|0
"do you see?—Posted like silent sentinels all around the town, stand"|68|3|8|3|5|2|0|0|0|0|0
"thousands upon thousands of mortal men fixed in ocean reveries. Some"|69|4|7|3|7|3|0|0|0|0|0
"leaning against the spiles; some seated upon the pier-heads; some"|66|5|10|4|3|1|0|0|0|0|0
"looking over the bulwarks of ships from China; some high aloft in the"|70|3|4|5|7|1|0|0|0|0|0
"rigging, as if striving to get a still better seaward peep. But these"|70|4|8|6|1|1|0|0|0|0|0
"are all landsmen; of week days pent up in lath and plaster—tied to"|67|7|7|2|2|1|0|0|0|0|0
